"Date_Event_Began" "Time_Event._Began" "Date_Restoration" "Time_Restoration" "Duration_Day" "Respondent"
"1" "1/4/16" "5:15" "1/5/16" "8:00" 2 "We Energies"
"2" "1/10/16" "20:46" "1/11/16" "5:25" 1 "ISO New England"
"3" "1/11/16" "20:16" "1/11/16" "23:00" 1 "PECO Energy Co"
"4" "1/14/16" "8:27" "1/14/16" "12:00" 1 "Delmarva Power & Light Company"
"5" "1/17/16" "12:00" "1/17/16" "13:00" 0 "Pacificorp"
"6" "1/22/16" "15:52" "1/24/16" "12:30" 1 "Duke Energy Progress"
"7" "1/23/16" "7:49" "1/23/16" "9:05" 0 "FirstEnergy Corp. Jersey Central Power & Light"
"8" "2/5/16" "11:21" "2/6/16" "15:48" 1 "ISO New England"
"9" "2/7/16" "11:30" NA NA NA "Central Hudson Gas & Electric"
"10" "2/7/16" "14:58" NA NA NA "Pacificorp"
"11" "2/7/16" "13:21" "2/7/16" "13:42" 0 "Pacificorp"
"12" "2/13/16" "12:44" "2/13/16" "16:27" 0 "Pacific Gas & Electric Co"
"13" "2/16/16" "8:35" "2/16/16" "17:28" 1 "American Electric Power - (RFC Reliability Region) (8400 Smiths Mill Road, New Albany Ohio 43054)"
"14" "2/19/16" "22:00" "2/20/16" "23:13" 1 "Detroit Edison Co"
"15" "2/21/16" "15:54" "2/21/16" "17:07" 0 "Pacificorp"
"16" "2/24/16" "14:45" "2/25/16" "5:00" 2 "Duke Energy Carolinas"
"17" "2/24/16" "9:10" "2/24/16" "10:15" 1 "Delmarva Power & Light Company"
"18" "2/25/16" "1:44" "2/25/16" "14:45" 1 "ISO New England"
"19" "2/26/16" "16:35" "2/26/16" "20:22" 1 "Arizona Public Service Co"
"20" "2/26/16" "0:01" NA NA NA "California Department of Water Resources"
"21" "3/1/16" "13:35" NA NA NA "Idaho Power Company"
"22" "3/1/16" "15:00" NA NA NA "Puget Sound Energy"
"23" "3/3/16" "11:00" "4/6/16" "19:47" 25 "California Department of Water Resources"
"24" "3/8/16" "0:00" "3/8/16" "0:00" 1 "Idaho Power Company"
"25" "3/10/16" "4:00" "3/11/16" "11:59" 2 "Puget Sound Energy"
"26" "3/13/16" "14:00" NA NA NA "Puget Sound Energy"
"27" "3/13/16" "16:55" NA NA NA "Snohomish County PUD No 1"
"28" "3/23/16" "5:00" "3/25/16" "23:59" 3 "Xcel Energy/Public Service Company of Colorado"
"29" "3/27/16" "12:00" "3/27/16" "13:00" 0 "Nevada Power Company d/b/a NV Energy"
"30" "3/30/16" "21:12" "3/31/16" "15:00" 2 "ISO New England/REMVEC"
"31" "4/1/16" "16:37" "4/1/16" "18:00" 1 "Seminole Electric Cooperative Inc"
"32" "4/2/16" "11:08" "4/2/16" "11:33" 0 "California Department of Water Resources"
"33" "4/12/16" "11:30" "4/12/16" "16:43" 1 "Pend Oreille County Public Utility District No. 1"
"34" "4/14/16" "16:49" "4/15/16" "20:42" 2 "Baltimore Gas and Electric"
"35" "4/15/16" "10:00" "4/15/16" "11:00" 1 "Pacificorp"
